Class,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,Result
T187,1753.405774,942.9623206,907.0670749,919.5483612,822.1006341,851.0633654,820.0790913,890.8477223,746.1864953,640.3162231,86.37264966,78.41838177,73.76950534,69.1686857,64.0289433,64.27597458,56.02464452,53.69960867,52.10711309,48.27993669,N
T188,1271.2163,870.0457501,767.4722678,853.8101514,762.7634408,625.426847,564.1474183,583.5092656,582.7784771,568.0162209,84.65703997,78.06409933,69.88955932,64.16197056,62.08942667,64.62724753,59.17709723,50.68038025,51.91100303,48.65810849,N
T189,4385.600594,3421.409844,3106.331555,2841.414033,2755.879871,2412.318854,2143.003242,1870.544755,1565.350075,1300.526983,252.3250874,233.7256714,222.0530719,200.3049228,209.9188282,181.3353513,183.5065882,160.7758395,158.470565,157.4828627,N
T190,4457.663187,3270.102107,3113.523697,3000.597991,3350.53362,5000.607915,3796.215694,3335.559612,3873.510981,2603.247301,328.6384717,312.3664898,268.2094902,273.7808234,232.6433355,272.2926326,199.4275586,209.3928764,195.9590977,185.094511,N
T191,4150.232623,3520.567586,2413.825186,1360.982461,1060.675194,870.7699124,994.3243944,960.5511059,1159.545182,1053.781671,77.21275404,72.7548551,69.04701666,63.84782457,67.45549214,65.47160474,58.6111973,56.27155917,47.67221089,46.98458789,N
T192,1361.449115,1165.969596,1185.776999,1001.103641,884.735221,873.4658941,783.0418015,768.5641672,579.9875877,481.5560628,87.84719671,88.1612282,85.86499126,83.68068959,68.57705627,69.54508556,65.99036474,66.20366121,62.34700292,56.8175544,N
T193,5274.812618,11778.63964,6586.85057,4593.117357,2626.006258,2155.385856,2212.771608,1346.68679,920.0119688,892.5585724,113.9784428,106.6268036,93.36629808,121.4212356,96.51913041,94.38366318,82.69761229,75.28701866,64.75993323,59.54545296,N
T194,1283.74422,1418.271201,2183.663497,2376.584749,1406.136036,1335.548245,1689.549333,1775.349909,2805.644912,1379.616044,171.5453075,154.027682,133.985343,130.0131672,125.7710854,115.4797859,110.2217492,102.2254468,101.259976,95.51519535,N
T195,1667.059771,2296.545317,2740.710431,2954.566024,2668.611007,2320.152864,2564.903686,1983.74378,1540.680761,1343.686654,75.33220745,70.02481921,67.53277958,66.58434205,62.65630979,60.77030718,58.11621413,54.75786457,50.91162827,48.46463661,N
T196,7492.093627,6519.410149,4290.417213,3961.174124,3759.222295,3423.197056,2986.979568,3364.379889,3423.228781,3026.077546,213.338411,210.3194051,181.4371694,173.8263292,147.7413801,146.2691591,141.2085782,124.7720451,118.9191885,116.2574007,N
