Spectrum Analyzer Data File				
2015/4/14 18:23				
				
Frequency (Hz)	Average Amplitude	Max Amplitude		
1359.283447	190.6381	330.76804		
1361.975098	279.36008	341.38495		
1364.666748	314.6765	544.83264		
1367.358398	421.93103	801.262		
1370.050049	285.80115	428.96707		
1372.741699	178.66887	342.05698		
1375.43335	297.84473	387.23254		
1378.125	211.17137	392.6518		
1380.81665	434.37213	614.69476		
1383.508301	336.27548	446.1501		
1386.199951	322.3007	453.23032		
1388.891602	193.15723	293.8175		
1391.583252	249.50485	386.6975		
1394.274902	407.26318	773.4111		
1396.966553	240.95686	371.19843		
1399.658203	195.77425	221.23123		
1402.349854	275.89847	387.924		
1405.041504	290.1662	377.77994		
1407.733154	334.93643	390.4833		
1410.424805	338.17896	389.14258		
1413.116455	256.88416	393.39398		
1415.808106	260.2514	416.06454		
1418.499756	223.96397	424.7899		
1421.191406	298.8815	504.9771		
1423.883057	400.47662	838.0603		
1426.574707	218.84236	301.16577		
1429.266357	212.77687	342.19214		
1431.958008	222.32515	435.58472		
1434.649658	262.99945	346.67462		
1437.341309	242.12666	373.89093		
1440.032959	420.8648	482.77985		
1442.724609	340.58493	529.5483		
1445.41626	294.14603	459.15344		
1448.10791	319.23032	414.99713		
1450.799561	276.9505	416.6308		
1453.491211	284.05185	438.7883		
1456.182861	216.81139	334.38617		
1458.874512	192.21483	316.36093		
1461.566162	324.6417	780.7898		
1464.257813	308.16888	495.7554		
1466.949463	150.64082	247.70728		
1469.641113	192.00581	302.76678		
1472.332764	336.0444	547.7782		
1475.024414	403.3491	614.89923		
1477.716065	276.07043	608.6682		
1480.407715	250.74236	363.43964		
1483.099365	391.09973	492.46667		
1485.791016	379.80237	478.56613		
1488.482666	331.12723	486.29324		
1491.174316	259.80252	425.9637		
1493.865967	266.28525	354.22202		
1496.557617	320.9088	401.22104		
1499.249268	211.0633	290.97617		
1501.940918	155.15955	282.79813		
1504.632568	289.85403	477.98727		
1507.324219	203.73965	386.42725		
1510.015869	310.51746	413.1648		
1512.70752	162.3565	282.9782		
1515.39917	293.19672	415.0141		
1518.09082	172.57025	460.9062		
1520.782471	203.923	482.5032		
1523.474121	197.17674	334.932		
1526.165772	317.40045	481.16626		
1528.857422	167.84723	232.60747		
1531.549072	271.68692	385.55774		
1534.240723	208.48357	334.44937		
1536.932373	249.33673	323.995		
1539.624023	170.76804	289.01044		
1542.315674	112.62824	152.95265		
1545.007324	229.20708	317.62332		
1547.698975	333.94852	573.4099		
1550.390625	442.0631	569.599		
1553.082275	267.7267	464.50134		
1555.773926	308.206	411.0238		
1558.465576	358.24048	422.7707		
1561.157227	220.17612	377.41562		
1563.848877	236.80626	510.24155		
1566.540527	259.6394	284.34186		
1569.232178	250.13405	527.9729		
1571.923828	308.0641	450.9036		
1574.615479	313.19214	567.2833		
1577.307129	263.10703	361.85605		
1579.998779	302.1127	422.6211		
1582.69043	293.70966	404.21216		
1585.38208	206.41681	398.40912		
1588.073731	186.35414	305.12057		
1590.765381	196.31126	397.70712		
1593.457031	252.2548	338.45172		
1596.148682	157.27197	179.44373		
1598.840332	253.29807	300.9264		
1601.531982	279.79562	531.04333		
1604.223633	264.04382	347.83508		
1606.915283	282.6474	292.92334		
1609.606934	160.25229	317.71762		
1612.298584	212.46417	319.41068		
1614.990234	259.11267	303.43213		
1617.681885	256.20325	377.03195		
1620.373535	242.48213	372.986		
1623.065186	156.7146	265.59042		
1625.756836	249.19322	404.57956		
1628.448486	192.90425	430.51236		
